datetime,city,state,country,shape,duration (seconds),latitude,longitude
10/10/1949 20:30,san marcos,tx,us,cylinder,2700,29.8830556,-97.9411111
10/10/1956 21:00,edna,tx,us,circle,20,28.9783333,-96.6458333
10/10/1960 20:00,kaneohe,hi,us,light,900,21.4180556,-157.8036111
10/10/1961 19:00,bristol,tn,us,sphere,300,36.5950000,-82.1888889
10/10/1965 23:45,norwalk,ct,us,disk,1200,41.1175000,-73.4083333
10/10/1966 20:00,pell city,al,us,disk,180,33.5861111,-86.2861111
10/10/1966 21:00,live oak,fl,us,disk,120,30.2947222,-82.9841667
10/10/1968 13:00,hawthorne,ca,us,circle,300,33.9163889,-118.3516667
10/10/1968 19:00,brevard,nc,us,fireball,180,35.2333333,-82.7344444
10/10/1970 16:00,bellmore,ny,us,disk,1800,40.6686111,-73.5275
10/10/1970 19:00,manchester,ky,us,unknown,180,37.1536111,-83.7619444
10/10/1971 21:00,lexington,nc,us,oval,30,35.8238889,-80.2536111
10/10/1972 19:00,harlan county,ky,us,circle,1200,36.8430556,-83.3219444
10/10/1972 22:30,west bloomfield,mi,us,disk,120,42.5377778,-83.2330556
10/10/1973 19:00,niantic,ct,us,disk,1800,41.3252778,-72.1936111
10/10/1974 19:30,hudson,ma,us,other,2700,42.3916667,-71.5666667
10/10/1974 23:00,hudson,ks,us,light,1200,38.1055556,-98.6597222
10/10/1975 17:00,north charleston,sc,us,light,360,32.8544444,-79.975
10/10/1976 20:30,washougal,wa,us,oval,60,45.5827778,-122.3522222
10/10/1977 12:00,san antonio,tx,us,other,30,29.4238889,-98.4933333
10/10/1977 22:00,louisville,ky,us,light,30,38.2541667,-85.7594444
10/10/1978 02:00,elmont,ny,us,rectangle,300,40.7008333,-73.7133333
10/10/1979 00:00,poughkeepsie,ny,us,chevron,900,41.7002778,-73.9213889
10/10/1979 22:00,san diego,ca,us,oval,180,32.7152778,-117.1563889
10/10/1979 22:00,security,co,us,unknown,1800,38.7583333,-104.7425
10/10/1980 19:00,houston,tx,us,sphere,180,29.7630556,-95.3630556
10/10/1980 22:00,dallas,tx,us,unknown,300,32.7833333,-96.8
10/10/1980 23:30,manchester,nh,us,light,300,42.9955556,-71.4552778
10/10/1984 05:00,houston,tx,us,circle,60,29.7630556,-95.3630556
10/10/1984 12:00,traverse city,mi,us,other,120,44.7630556,-85.6205556
10/10/1984 22:00,white plains,ny,us,formation,20,41.0338889,-73.7633333
10/10/1988 18:00,milwaukee,wi,us,triangle,600,43.0388889,-87.9063889
10/10/1988 21:00,new gloucester,me,us,unknown,120,43.9627778,-70.2830556
10/10/1988 22:00,boulder,co,us,light,60,40.0150000,-105.27
10/10/1989 00:00,calabasas,ca,us,disk,300,34.1577778,-118.6375
10/10/1989 21:00,centralia,wa,us,triangle,60,46.7163889,-122.9530556
10/10/1990 21:00,ashburn,ga,us,triangle,120,31.7058333,-83.6533333
10/10/1991 22:00,frisco,nc,us,unknown,1800,35.2350000,-75.6288889
10/10/1991 22:00,harrisburg,pa,us,triangle,600,40.2736111,-76.8847222
10/10/1992 17:00,panama city,fl,us,formation,3600,30.1586111,-85.6602778
10/10/1992 18:00,stafford,tx,us,unknown,10,29.6158333,-95.5575
10/10/1992 20:15,seymour,tn,us,cigar,60,35.8905556,-83.7247222
10/10/1992 22:00,weatherford,tx,us,unknown,30,32.7591667,-97.7969444
10/10/1993 22:00,peoria,il,us,light,8,40.6936111,-89.5888889
10/10/1993 23:00,carthage,tn,us,other,60,36.2522222,-85.9516667
10/10/1994 18:30,burnt hills,ny,us,rectangle,120,42.9097222,-73.8955556
10/10/1994 22:00,pinebergen,ar,us,light,5,34.1027778,-91.9922222
10/10/1996 03:20,higginsville,mo,us,triangle,3,39.0725000,-93.7169444
10/10/1996 22:00,charleston,sc,us,light,300,32.7763889,-79.9311111
10/10/1996 22:30,monroe county,oh,us,cylinder,60,39.4402778,-84.3622222
10/10/1997 16:00,connersville,in,us,delta,14400,39.6411111,-85.1411111
10/10/1997 17:00,mesa,az,us,sphere,30,33.4222222,-111.8219444
10/10/1997 20:00,bonaire,ga,us,triangle,300,32.5436111,-83.5961111
10/10/1997 21:00,austin,mn,us,other,3600,43.6666667,-92.9744444
10/10/1998 02:30,hollywood,ca,us,changing,300,34.0983333,-118.3258333
10/10/1998 13:15,elgin,il,us,cylinder,1800,42.0372222,-88.2811111
10/10/1998 17:30,las vegas,nv,us,cigar,600,36.1750000,-115.1363889
10/10/1998 17:30,las vegas,nv,us,circle,2700,36.1750000,-115.1363889
10/10/1998 20:50,mooresville,nc,us,light,2,35.5847222,-80.8102778
10/10/1998 23:50,delano,tn,us,fireball,15,35.2650000,-84.5533333
10/10/1999 00:01,martinez,ca,us,changing,3600,38.0194444,-122.1330556
10/10/1999 04:00,kansas city,ks,us,unknown,600,39.1141667,-94.6272222
10/10/1999 06:00,dallas,tx,us,other,10,32.7833333,-96.8
10/10/1999 11:00,san diego,ca,us,fireball,3600,32.7152778,-117.1563889
10/10/1999 12:40,kennewick,wa,us,sphere,45,46.2113889,-119.1361111
10/10/1999 20:35,hayward,ca,us,circle,90,37.6688889,-122.0797222
10/10/1999 21:00,rachel,nv,us,light,10800,37.6447222,-115.7427778
10/10/1999 21:30,humphrey,ne,us,sphere,300,41.6916667,-97.4841667
10/10/1999 22:30,elgin,or,us,chevron,240,45.5650000,-117.9163889
10/10/1999 23:45,lewiston,mi,us,oval,2700,44.8838889,-84.3055556
10/10/2000 03:00,perryville,mo,us,oval,180,37.7241667,-89.8611111
10/10/2000 06:15,boynton beach,fl,us,other,10,26.5250000,-80.0666667
10/10/2000 20:30,brinktown,mo,us,light,1800,38.1266667,-92.0844444
10/10/2000 21:30,florence,ky,us,light,5,38.9988889,-84.6266667
10/10/2000 22:00,port orchard,wa,us,diamond,60,47.5405556,-122.635
10/10/2001 03:00,rockwell city,ia,us,triangle,240,42.3952778,-94.6336111
10/10/2001 20:35,hayward,ca,us,circle,120,37.6688889,-122.0797222
10/10/2001 21:15,ottumwa,ia,us,rectangle,300,41.0041667,-92.3736111
10/10/2001 21:30,fresno,ca,us,changing,900,36.7477778,-119.7713889
10/10/2001 22:00,phoenix,az,us,triangle,60,33.4483333,-112.0733333
10/10/2001 23:00,virginia beach,va,us,triangle,30,36.8527778,-75.9783333
10/10/2002 00:01,hayward,wi,us,flash,43,46.0130556,-91.4844444
10/10/2002 02:00,philomath,or,us,unknown,5,44.5402778,-123.3663889
10/10/2002 06:00,seattle,wa,us,sphere,90,47.6063889,-122.3308333
10/10/2002 20:30,cincinnati,oh,us,other,1800,39.1619444,-84.4569444
10/10/2002 21:00,portland,or,us,circle,120,45.5236111,-122.675
10/10/2003 12:00,alhambra,ca,us,oval,300,34.0952778,-118.1261111
10/10/2003 18:00,indianapolis,in,us,sphere,1800,39.7683333,-86.1580556
10/10/2003 19:15,centreville,va,us,other,600,38.8402778,-77.4291667
10/10/2003 20:05,grand view,id,us,light,15,42.9897222,-116.0925
10/10/2003 20:25,temperance,mi,us,oval,18000,41.7791667,-83.5688889
10/10/2003 21:10,crescent beach,sc,us,formation,37800,33.8075000,-78.7011111
10/10/2003 22:00,albuquerque,nm,us,light,180,35.0844444,-106.6505556
10/10/2003 23:25,gleason,wi,us,sphere,1800,45.3088889,-89.4963889
10/10/2004 02:50,mahwah,nj,us,triangle,180,41.0886111,-74.1441667
10/10/2004 04:18,terre haute,in,us,sphere,5,39.4666667,-87.4138889
10/10/2004 08:30,indianapolis,in,us,oval,15,39.7683333,-86.1580556
10/10/2004 14:00,morgantown,wv,us,circle,10,39.6294444,-79.9561111
10/10/2004 15:00,berkeley,ca,us,unknown,180,37.8716667,-122.2716667
10/10/2004 15:00,rock island,il,us,sphere,3600,41.5094444,-90.5786111
10/10/2004 19:00,ripley,ny,us,circle,900,42.2669444,-79.7108333
10/10/2004 21:00,faribault,mn,us,flash,900,44.2950000,-93.2686111
10/10/2004 21:00,mansfield,oh,us,light,7200,40.7583333,-82.5155556
10/10/2004 22:00,columbia,mo,us,light,60,38.9516667,-92.3338889
10/10/2004 23:30,gleason,wi,us,sphere,3000,45.3088889,-89.4963889
10/10/2005 07:40,seattle,wa,us,other,60,47.6063889,-122.3308333
10/10/2005 09:00,apache junction,az,us,other,30,33.4150000,-111.5488889
10/10/2005 09:30,north miami beach,fl,us,oval,1800,25.9327778,-80.1627778
10/10/2005 14:45,los angeles,ca,us,egg,10,34.0522222,-118.2427778
10/10/2005 20:00,loretto,pa,us,triangle,300,40.5030556,-78.6305556
