Year,Total Pop
1900,77.414
1901,78.904
1902,80.499
1903,82.029
1904,83.622
1905,85.35
1906,87.058
1907,88.677
1908,90.456
1909,92.31
1910,94.278
1911,95.791
1912,97.311
1913,99.255
1914,101.202
1915,102.686
1916,104.167
1917,105.516
1918,105.497
1919,106.918
1920,108.932
1921,111.098
1922,112.689
1923,114.669
1924,116.927
1925,118.723
1926,120.383
1927,122.141
1928,123.673
1929,124.961
1930,126.342
1931,127.346
1932,128.14
1933,128.857
1934,129.618
1935,130.48
1936,131.269
1937,132.029
1938,133.032
1939,134.107
1940,135.22
1941,136.5
1942,137.373
1943,137.623
1944,136.211
1945,135.74
1946,143.635
1947,147.122
1948,149.897
1949,152.535
1950,155.683
1951,157.91
1952,160.427
1953,163.078
1954,166.138
1955,169.465
1956,172.582
1957,175.767
1958,178.845
1959,181.915
1960,184.803
1961,187.973
1962,190.856
1963,193.724
1964,196.502
1965,198.983
1966,201.108
1967,203.055
1968,205.078
1969,207.145
1970,209.207145
1971,212.812562
1972,215.305934
1973,217.353072
1974,219.323564
1975,221.434488
1976,223.514909
1977,225.689887
1978,228.035766
1979,230.505324
1980,233.177614
1981,235.451475
1982,237.665415
1983,239.809259
1984,241.871715
1985,244.00524
1986,246.247873
1987,248.450227
1988,250.713424
1989,253.074278
1990,255.808419
1991,258.568237
1992,261.494647
1993,264.300568
1994,266.915822
1995,269.466555
1996,271.967753
1997,274.617188
1998,277.167959
1999,279.7025
2000,289.550687
2001,292.472818
2002,295.227229
2003,297.800771
2004,300.592152
2005,303.36995
2006,306.293723
2007,309.207554
2008,312.132118
2009,314.858892
2010,317.463619
2011,319.811055
2012,322.223264
2013,324.527004
2014,326.985374
2015,329.470499
2016,331.903158
2017,334.291996
